CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PT;B;LSTAT;MV
0.368939996;22;5.860000134;0;0.430999994;8.258999825;8.399999619;8.906700134;7;330;19.10000038;396.8999939;3.539999962;42.79999924
0.048190001;80;3.640000105;0;0.39199999;6.107999802;32;9.220299721;1;315;16.39999962;392.8900146;6.570000172;21.89999962
0.03548;80;3.640000105;0;0.39199999;5.875999928;19.10000038;9.220299721;1;315;16.39999962;395.1799927;9.25;20.89999962
0.01538;90;3.75;0;0.393999994;7.453999996;34.20000076;6.336100101;3;244;15.89999962;386.3399963;3.109999895;44
0.61154002;20;3.970000029;0;0.647000015;8.704000473;86.90000153;1.800999999;5;264;13;389.7000122;5.119999886;50
0.663510025;20;3.970000029;0;0.647000015;7.333000183;100;1.894600034;5;264;13;383.2900085;7.789999962;36
0.656650007;20;3.970000029;0;0.647000015;6.842000008;100;2.010699987;5;264;13;391.9299927;6.900000095;30.10000038
0.540109992;20;3.970000029;0;0.647000015;7.203000069;81.80000305;2.112099886;5;264;13;392.7999878;9.590000153;33.79999924
0.534120023;20;3.970000029;0;0.647000015;7.519999981;89.40000153;2.139800072;5;264;13;388.3699951;7.260000229;43.09999847
0.520139992;20;3.970000029;0;0.647000015;8.397999763;91.5;2.288500071;5;264;13;386.8599854;5.909999847;48.79999924
0.825259984;20;3.970000029;0;0.647000015;7.327000141;94.5;2.078799963;5;264;13;393.4200134;11.25;31
0.550069988;20;3.970000029;0;0.647000015;7.205999851;91.59999847;1.930099964;5;264;13;387.8900146;8.100000381;36.5
0.761619985;20;3.970000029;0;0.647000015;5.559999943;62.79999924;1.986500025;5;264;13;392.3999939;10.44999981;22.79999924
0.785700023;20;3.970000029;0;0.647000015;7.013999939;84.59999847;2.1329;5;264;13;384.0700073;14.78999996;30.70000076
0.578339994;20;3.970000029;0;0.574999988;8.296999931;67;2.421600103;5;264;13;384.5400085;7.440000057;50
0.540499985;20;3.970000029;0;0.574999988;7.46999979;52.59999847;2.871999979;5;264;13;390.2999878;3.160000086;43.5
0.09065;20;6.960000038;1;0.463999987;5.920000076;61.5;3.917500019;3;223;18.60000038;391.3399963;13.64999962;20.70000076
0.299160004;20;6.960000038;0;0.463999987;5.855999947;42.09999847;4.428999901;3;223;18.60000038;388.6499939;13;21.10000038
0.162110001;20;6.960000038;0;0.463999987;6.239999771;16.29999924;4.428999901;3;223;18.60000038;396.8999939;6.590000153;25.20000076
0.114600003;20;6.960000038;0;0.463999987;6.538000107;58.70000076;3.917500019;3;223;18.60000038;394.9599915;7.730000019;24.39999962
0.221880004;20;6.960000038;1;0.463999987;7.690999985;51.79999924;4.366499901;3;223;18.60000038;390.769989;6.579999924;35.20000076
0.056439999;40;6.409999847;1;0.446999997;6.757999897;32.90000153;4.077600002;4;254;17.60000038;396.8999939;3.529999971;32.40000153
0.096040003;40;6.409999847;0;0.446999997;6.854000092;42.79999924;4.267300129;4;254;17.60000038;396.8999939;2.980000019;32
0.10469;40;6.409999847;1;0.446999997;7.267000198;49;4.787199974;4;254;17.60000038;389.25;6.050000191;33.20000076
0.061269999;40;6.409999847;1;0.446999997;6.826000214;27.60000038;4.862800121;4;254;17.60000038;393.4500122;4.159999847;33.09999847
0.079779997;40;6.409999847;0;0.446999997;6.481999874;32.09999847;4.140299797;4;254;17.60000038;396.8999939;7.190000057;29.10000038
0.210380003;20;3.329999924;0;0.442900002;6.811999798;32.20000076;4.100699902;5;216;14.89999962;396.8999939;4.849999905;35.09999847
0.035780001;20;3.329999924;0;0.442900002;7.820000172;64.5;4.694699764;5;216;14.89999962;387.3099976;3.75999999;45.40000153
0.037050001;20;3.329999924;0;0.442900002;6.967999935;37.20000076;5.244699955;5;216;14.89999962;392.230011;4.590000153;35.40000153
0.06129;20;3.329999924;1;0.442900002;7.644999981;49.70000076;5.211900234;5;216;14.89999962;377.0700073;3.00999999;46
0.01501;90;1.210000038;1;0.400999993;7.922999859;24.79999924;5.885000229;1;198;13.60000038;395.519989;3.160000086;50
0.00906;90;2.970000029;0;0.400000006;7.087999821;20.79999924;7.307300091;1;285;15.30000019;394.7200012;7.849999905;32.20000076
0.01096;55;2.25;0;0.388999999;6.453000069;31.89999962;7.307300091;1;300;15.30000019;394.7200012;8.229999542;22
0.019649999;80;1.75999999;0;0.38499999;6.230000019;31.5;9.08920002;1;241;18.20000076;341.6000061;12.93000031;20.10000038
0.038710002;52.5;5.320000172;0;0.405000001;6.209000111;31.29999924;7.317200184;6;293;16.60000038;396.8999939;7.139999866;23.20000076
0.045899998;52.5;5.320000172;0;0.405000001;6.315000057;45.59999847;7.317200184;6;293;16.60000038;396.8999939;7.599999905;22.29999924
0.042970002;52.5;5.320000172;0;0.405000001;6.565000057;22.89999962;7.317200184;6;293;16.60000038;371.7200012;9.510000229;24.79999924
0.035020001;80;4.949999809;0;0.411000013;6.861000061;27.89999962;5.116700172;4;245;19.20000076;396.8999939;3.329999924;28.5
0.07886;80;4.949999809;0;0.411000013;7.147999763;27.70000076;5.116700172;4;245;19.20000076;396.8999939;3.559999943;37.29999924
0.036150001;80;4.949999809;0;0.411000013;6.630000114;23.39999962;5.116700172;4;245;19.20000076;396.8999939;4.699999809;27.89999962
0.082649998;0;13.92000008;0;0.437000006;6.126999855;18.39999962;5.502699852;4;289;16;396.8999939;8.579999924;23.89999962
0.081990004;0;13.92000008;0;0.437000006;6.008999825;42.29999924;5.502699852;4;289;16;396.8999939;10.39999962;21.70000076
0.129319996;0;13.92000008;0;0.437000006;6.677999973;31.10000038;5.960400105;4;289;16;396.8999939;6.269999981;28.60000038
0.053720001;0;13.92000008;0;0.437000006;6.548999786;51;5.960400105;4;289;16;392.8500061;7.389999866;27.10000038
0.141029999;0;13.92000008;0;0.437000006;5.789999962;58;6.320000172;4;289;16;396.8999939;15.84000015;20.29999924
0.064659998;70;2.24000001;0;0.400000006;6.34499979;20.10000038;7.827799797;5;358;14.80000019;368.2399902;4.96999979;22.5
0.055610001;70;2.24000001;0;0.400000006;7.040999889;10;7.827799797;5;358;14.80000019;371.5799866;4.739999771;29
0.04417;70;2.24000001;0;0.400000006;6.870999813;47.40000153;7.827799797;5;358;14.80000019;390.8599854;6.070000172;24.79999924
0.03537;34;6.090000153;0;0.432999998;6.590000153;40.40000153;5.491700172;7;329;16.10000038;395.75;9.5;22
